awardYear,category,motivation,name,gender,birth date,birth_continent,birth_countryNow,death_date
1936,Physiology or Medicine,for their discoveries relating to chemical transmission of nerve impulses,Sir Henry Dale,male,9.6.1875,Europe,United Kingdom,23.7.1968
1936,Physics,for his discovery of cosmic radiation,Victor F. Hess,male,24.6.1883,Europe,Austria,17.12.1964
1937,Physiology or Medicine,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",Albert Szent-Györgyi,male,16.9.1893,Europe,Hungary,22.10.1986
1937,Physics,for their experimental discovery of the diffraction of electrons by crystals,Clinton Davisson,male,22.10.1881,North America,USA,1.2.1958
1937,Physics,for their experimental discovery of the diffraction of electrons by crystals,George Paget Thomson,male,3.5.1892,Europe,United Kingdom,10.9.1975
1937,Chemistry,for his investigations on carbohydrates and vitamin C,Norman Haworth,male,19.3.1883,Europe,United Kingdom,19.3.1950
1937,Chemistry,"for his investigations on carotenoids, flavins and vitamins A and B2",Paul Karrer,male,21.4.1889,Europe,Russia,18.6.1971
1937,Peace,"for his tireless effort in support of the League of Nations, disarmament and peace","Robert Cecil, Viscount Cecil of Chelwood",male,14.9.1864,Europe,United Kingdom,24.11.1958
1937,Literature,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,Roger Martin du Gard,male,23.3.1881,Europe,France,22.8.1958
1938,Physiology or Medicine,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,Corneille Heymans,male,28.3.1892,Europe,Belgium,18.7.1968
1938,Physics,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",Enrico Fermi,male,29.9.1901,Europe,Italy,28.11.1954
1938,Peace,for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe,Nansen International Office for Refugees,,..,,,
1938,Literature,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,Pearl Buck,female,26.6.1892,North America,USA,6.3.1973
1938,Chemistry,for his work on carotenoids and vitamins,Richard Kuhn,male,3.12.1900,Europe,Austria,31.7.1967
1939,Chemistry,for his work on sex hormones,Adolf Butenandt,male,24.3.1903,Europe,Germany,18.1.1995
1939,Physics,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",Ernest Lawrence,male,8.8.1901,North America,USA,27.8.1958
1939,Literature,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,Frans Eemil Sillanpää,male,16.9.1888,Europe,Finland,3.6.1964
1939,Physiology or Medicine,for the discovery of the antibacterial effects of prontosil,Gerhard Domagk,male,30.10.1895,Europe,Poland,24.4.1964
1939,Chemistry,for his work on polymethylenes and higher terpenes,Leopold Ruzicka,male,13.9.1887,Europe,Croatia,26.9.1976
1943,Physiology or Medicine,for his discovery of the chemical nature of vitamin K,Edward A. Doisy,male,13.11.1893,North America,USA,23.10.1986
1943,Chemistry,for his work on the use of isotopes as tracers in the study of chemical processes,George de Hevesy,male,1.8.1885,Europe,Hungary,5.7.1966
1943,Physiology or Medicine,for his discovery of vitamin K,Henrik Dam,male,21.2.1895,Europe,Denmark,17.4.1976
1943,Physics,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,Otto Stern,male,17.2.1888,Europe,Poland,17.8.1969
1944,Physiology or Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres,Herbert S. Gasser,male,5.7.1888,North America,USA,11.5.1963
1944,Physics,for his resonance method for recording the magnetic properties of atomic nuclei,Isidor Isaac Rabi,male,29.7.1898,Europe,Poland,11.1.1988
1944,Literature,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style",Johannes V. Jensen,male,20.1.1873,Europe,Denmark,25.11.1950
1944,Physiology or Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres,Joseph Erlanger,male,5.1.1874,North America,USA,5.12.1965
1944,Chemistry,for his discovery of the fission of heavy nuclei,Otto Hahn,male,8.3.1879,Europe,Germany,28.7.1968
1944,Peace,for the great work it has performed during the war on behalf of humanity,International Committee of the Red Cross,,,,,
1945,Chemistry,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",Artturi Virtanen,male,15.1.1895,Europe,Finland,11.11.1973
1945,Peace,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,Cordell Hull,male,2.10.1871,North America,USA,23.7.1955
1945,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases,Ernst B. Chain,male,19.6.1906,Europe,Germany,12.8.1979
1945,Literature,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",Gabriela Mistral,female,7.4.1889,South America,Chile,10.1.1957
1945,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases,Sir Alexander Fleming,male,6.8.1881,Europe,Scotland,11.3.1955
1945,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases,Sir Howard Florey,male,24.9.1898,Oceania,Australia,21.2.1968
1945,Physics,"for the discovery of the Exclusion Principle, also called the Pauli Principle",Wolfgang Pauli,male,25.4.1900,Europe,Austria,15.12.1958
1946,Peace,for her lifelong work for the cause of peace,Emily Greene Balch,female,8.1.1867,North America,USA,9.1.1961
1946,Literature,"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style",Hermann Hesse,male,2.7.1877,Europe,Germany,9.8.1962
1946,Physiology or Medicine,for the discovery of the production of mutations by means of X-ray irradiation,Hermann J. Muller,male,21.12.1890,North America,USA,5.4.1967
1946,Chemistry,for his discovery that enzymes can be crystallized,James B. Sumner,male,19.11.1887,North America,USA,12.8.1955
1946,Chemistry,for their preparation of enzymes and virus proteins in a pure form,John H. Northrop,male,5.7.1891,North America,USA,27.5.1987
1946,Peace,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,John R. Mott,male,25.5.1865,North America,USA,31.1.1955
1946,Physics,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics",Percy W. Bridgman,male,21.4.1882,North America,USA,20.8.1961
1946,Chemistry,for their preparation of enzymes and virus proteins in a pure form,Wendell M. Stanley,male,16.8.1904,North America,USA,15.6.1971
1947,Peace,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",American Friends Service Committee,,,,,
1947,Literature,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",André Gide,male,22.11.1869,Europe,France,19.2.1951
1947,Physiology or Medicine,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,Bernardo Houssay,male,10.4.1887,South America,Argentina,21.9.1971
1947,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen,Carl Cori,male,5.12.1896,Europe,Czech Republic,20.10.1984
1947,Physics,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,Edward V. Appleton,male,6.9.1892,Europe,United Kingdom,21.4.1965
1947,Peace,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",Friends Service Council,,,,,
1947,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen,Gerty Cori,female,15.8.1896,Europe,Czech Republic,26.10.1957
1947,Chemistry,"for his investigations on plant products of biological importance, especially the alkaloids",Sir Robert Robinson,male,13.9.1886,Europe,United Kingdom,8.2.1975
1948,Chemistry,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",Arne Tiselius,male,10.8.1902,Europe,Sweden,29.10.1971
1948,Physics,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation",Patrick M.S. Blackett,male,18.11.1897,Europe,United Kingdom,13.7.1974
1948,Physiology or Medicine,for his discovery of the high efficiency of DDT as a contact poison against several arthropods,Paul Müller,male,12.1.1899,Europe,Switzerland,12.10.1965
1948,Literature,"for his outstanding, pioneer contribution to present-day poetry",T.S. Eliot,male,26.9.1888,North America,USA,4.1.1965
1949,Physiology or Medicine,for his discovery of the therapeutic value of leucotomy in certain psychoses,Egas Moniz,male,29.11.1874,Europe,Portugal,13.12.1955
1949,Physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,Hideki Yukawa,male,23.1.1907,Asia,Japan,8.9.1981
1949,Peace,"for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war",Lord Boyd Orr,male,23.9.1880,Europe,Scotland,25.6.1971
1949,Physiology or Medicine,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs,Walter Hess,male,17.3.1881,Europe,Switzerland,12.8.1973
1949,Chemistry,"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures",William F. Giauque,male,12.5.1895,North America,Canada,28.3.1982
1949,Literature,for his powerful and artistically unique contribution to the modern American novel,William Faulkner,male,25.9.1897,North America,USA,6.7.1962
1950,Literature,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,Bertrand Russell,male,18.5.1872,Europe,United Kingdom,2.2.1970
1950,Physics,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,Cecil Powell,male,5.12.1903,Europe,United Kingdom,9.8.1969
1950,Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",Edward C. Kendall,male,8.3.1886,North America,USA,4.5.1972
1950,Chemistry,for their discovery and development of the diene synthesis,Kurt Alder,male,10.7.1902,Europe,Poland,20.6.1958
1950,Chemistry,for their discovery and development of the diene synthesis,Otto Diels,male,23.1.1876,Europe,Germany,7.3.1954
1950,Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",Philip S. Hench,male,28.2.1896,North America,USA,30.3.1965
1950,Peace,for his work as mediator in Palestine in 1948-1949,Ralph Bunche,male,7.8.1904,North America,USA,9.12.1971
1950,Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",Tadeus Reichstein,male,20.7.1897,Europe,Poland,1.8.1996
1951,Chemistry,for their discoveries in the chemistry of the transuranium elements,Edwin M. McMillan,male,18.9.1907,North America,USA,7.9.1991
1951,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,Ernest T.S. Walton,male,6.10.1903,Europe,Ireland,25.6.1995
1951,Chemistry,for their discoveries in the chemistry of the transuranium elements,Glenn T. Seaborg,male,19.4.1912,North America,USA,25.2.1999
1951,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,John Cockcroft,male,27.5.1897,Europe,United Kingdom,18.9.1967
1951,Peace,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,Léon Jouhaux,male,1.7.1879,Europe,France,28.4.1954
1951,Physiology or Medicine,for his discoveries concerning yellow fever and how to combat it,Max Theiler,male,30.1.1899,Africa,South Africa,11.8.1972
1951,Literature,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind,Pär Lagerkvist,male,23.5.1891,Europe,Sweden,11.7.1974
1952,Peace,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",Albert Schweitzer,male,14.1.1875,Europe,France,4.9.1965
1952,Chemistry,for their invention of partition chromatography,Archer J.P. Martin,male,1.3.1910,Europe,United Kingdom,28.7.2002
1952,Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,E. M. Purcell,male,30.8.1912,North America,USA,7.3.1997
1952,Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,Felix Bloch,male,23.10.1905,Europe,Switzerland,10.9.1983
1952,Literature,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,François Mauriac,male,11.10.1885,Europe,France,1.9.1970
1952,Chemistry,for their invention of partition chromatography,Richard L.M. Synge,male,28.10.1914,Europe,United Kingdom,18.8.1994
1952,Physiology or Medicine,"for his discovery of streptomycin, the first antibiotic effective against tuberculosis",Selman A. Waksman,male,22.7.1888,Europe,Ukraine,16.8.1973
1953,Physics,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",Frits Zernike,male,16.7.1888,Europe,the Netherlands,10.3.1966
1953,Physiology or Medicine,for his discovery of co-enzyme A and its importance for intermediary metabolism,Fritz Lipmann,male,12.6.1899,Europe,Russia,24.7.1986
1953,Peace,for proposing and supervising the plan for the economic recovery of Europe,George C. Marshall,male,31.12.1880,North America,USA,16.10.1959
1953,Physiology or Medicine,for his discovery of the citric acid cycle,Hans Krebs,male,25.8.1900,Europe,Germany,22.11.1981
1953,Chemistry,for his discoveries in the field of macromolecular chemistry,Hermann Staudinger,male,23.3.1881,Europe,Germany,8.9.1965
1953,Literature,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values,Winston Churchill,male,30.11.1874,Europe,United Kingdom,24.1.1965
1954,Literature,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style",Ernest Hemingway,male,21.7.1899,North America,USA,2.7.1961
1954,Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,Frederick C. Robbins,male,25.8.1916,North America,USA,4.8.2003
1954,Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,John F. Enders,male,10.2.1897,North America,USA,8.9.1985
1954,Physics,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",Max Born,male,11.12.1882,Europe,Poland,5.1.1970
1954,Peace,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,Office of the United Nations High Commissioner for Refugees,,,,,
1954,Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,Thomas H. Weller,male,15.6.1915,North America,USA,23.8.2008
1954,Physics,for the coincidence method and his discoveries made therewith,Walther Bothe,male,8.1.1891,Europe,Germany,8.2.1957
1954,Chemistry,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,Linus Pauling,male,28.2.1901,North America,USA,19.8.1994
1955,Literature,for his vivid epic power which has renewed the great narrative art of Iceland,Halldór Laxness,male,23.4.1902,Europe,Iceland,8.2.1998
1955,Physiology or Medicine,for his discoveries concerning the nature and mode of action of oxidation enzymes,Hugo Theorell,male,6.7.1903,Europe,Sweden,15.8.1982
1955,Physics,for his precision determination of the magnetic moment of the electron,Polykarp Kusch,male,26.1.1911,Europe,Germany,20.3.1993
1955,Chemistry,"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone",Vincent du Vigneaud,male,18.5.1901,North America,USA,11.12.1978
1955,Physics,for his discoveries concerning the fine structure of the hydrogen spectrum,Willis E. Lamb,male,12.7.1913,North America,USA,15.5.2008
1956,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,André F. Cournand,male,24.9.1895,Europe,France,19.2.1988
1956,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,Dickinson W. Richards,male,30.10.1895,North America,USA,23.2.1973
1956,Physics,for their researches on semiconductors and their discovery of the transistor effect,John Bardeen,male,23.5.1908,North America,USA,30.1.1991
1956,Literature,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",Juan Ramón Jiménez,male,24.12.1881,Europe,Spain,29.5.1958
1956,Chemistry,for their researches into the mechanism of chemical reactions,Nikolay Semenov,male,3.4.1896,Europe,Russia,25.9.1986
1956,Chemistry,for their researches into the mechanism of chemical reactions,Sir Cyril Hinshelwood,male,19.5.1897,Europe,United Kingdom,9.10.1967
1956,Physics,for their researches on semiconductors and their discovery of the transistor effect,Walter H. Brattain,male,10.2.1902,Asia,China,13.10.1987
1956,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,Werner Forssmann,male,29.8.1904,Europe,Germany,1.6.1979
1956,Physics,for their researches on semiconductors and their discovery of the transistor effect,William B. Shockley,male,13.2.1910,Europe,United Kingdom,12.8.1989
1957,Literature,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",Albert Camus,male,7.11.1913,Africa,Algeria,4.1.1960
1957,Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Chen Ning Yang,male,22.9.1922,Asia,China,
1957,Physiology or Medicine,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",Daniel Bovet,male,23.3.1907,Europe,Switzerland,8.4.1992
1957,Peace,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,Lester Bowles Pearson,male,23.4.1897,North America,Canada,27.12.1972
1957,Chemistry,for his work on nucleotides and nucleotide co-enzymes,Lord Todd,male,2.10.1907,Europe,Scotland,10.1.1997
1957,Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Tsung-Dao Lee,male,24.11.1926,Asia,China,
1958,Literature,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,Boris Pasternak,male,10.2.1890,Europe,Russia,30.5.1960
1958,Physiology or Medicine,for their discovery that genes act by regulating definite chemical events,Edward Tatum,male,14.12.1909,North America,USA,5.11.1975
1958,Chemistry,"for his work on the structure of proteins, especially that of insulin",Frederick Sanger,male,13.8.1918,Europe,United Kingdom,19.11.2013
1958,Physiology or Medicine,for their discovery that genes act by regulating definite chemical events,George Beadle,male,22.10.1903,North America,USA,9.6.1989
1958,Peace,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,Georges Pire,male,10.2.1910,Europe,Belgium,30.1.1969
1958,Physics,for the discovery and the interpretation of the Cherenkov effect,Igor Y. Tamm,male,8.7.1895,Europe,Russia,12.4.1971
1958,Physics,for the discovery and the interpretation of the Cherenkov effect,Il´ja M. Frank,male,23.10.1908,Europe,Russia,22.6.1990
1958,Physiology or Medicine,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,Joshua Lederberg,male,23.5.1925,North America,USA,2.2.2008
1958,Physics,for the discovery and the interpretation of the Cherenkov effect,Pavel A. Cherenkov,male,28.7.1904,Europe,Russia,6.1.1990
1959,Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,Arthur Kornberg,male,3.3.1918,North America,USA,26.10.2007
1959,Physics,for their discovery of the antiproton,Emilio Segrè,male,1.2.1905,Europe,Italy,22.4.1989
1959,Chemistry,for his discovery and development of the polarographic methods of analysis,Jaroslav Heyrovsky,male,20.12.1890,Europe,Czech Republic,27.3.1967
1959,Physics,for their discovery of the antiproton,Owen Chamberlain,male,10.7.1920,North America,USA,28.2.2006
1959,Peace,for his longstanding contribution to the cause of disarmament and peace,Philip Noel-Baker,male,1.11.1889,Europe,United Kingdom,8.10.1982
1959,Literature,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times",Salvatore Quasimodo,male,20.8.1901,Europe,Italy,14.6.1968
1959,Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,Severo Ochoa,male,24.9.1905,Europe,Spain,1.11.1993
1960,Peace,for his non-violent struggle against apartheid,Albert Luthuli,male,0.0.1898,Africa,Zimbabwe,21.7.1967
1960,Physics,for the invention of the bubble chamber,Donald A. Glaser,male,21.9.1926,North America,USA,28.2.2013
1960,Physiology or Medicine,for discovery of acquired immunological tolerance,Peter Medawar,male,28.2.1915,South America,Brazil,2.10.1987
1960,Literature,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,Saint-John Perse,male,31.5.1887,North America,Guadeloupe Island,20.9.1975
1960,Physiology or Medicine,for discovery of acquired immunological tolerance,Sir Frank Macfarlane Burnet,male,3.9.1899,Oceania,Australia,31.8.1985
1960,Chemistry,"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science",Willard F. Libby,male,17.12.1908,North America,USA,8.9.1980
1961,Peace,"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",Dag Hammarskjöld,male,29.7.1905,Europe,Sweden,18.9.1961
1961,Physiology or Medicine,for his discoveries of the physical mechanism of stimulation within the cochlea,Georg von Békésy,male,3.6.1899,Europe,Hungary,13.6.1972
1961,Literature,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,Ivo Andric,male,10.10.1892,Europe,Bosnia and Herzegovina,13.3.1975
1961,Chemistry,for his research on the carbon dioxide assimilation in plants,Melvin Calvin,male,8.4.1911,North America,USA,8.1.1997
1961,Physics,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons,Robert Hofstadter,male,5.2.1915,North America,USA,17.11.1990
1961,Physics,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name,Rudolf Mössbauer,male,31.1.1929,Europe,Germany,14.9.2011
1962,Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,Francis Crick,male,8.6.1916,Europe,United Kingdom,28.7.2004
1962,Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,James Watson,male,6.4.1928,North America,USA,
1962,Chemistry,for their studies of the structures of globular proteins,John C. Kendrew,male,24.3.1917,Europe,United Kingdom,23.8.1997
1962,Literature,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",John Steinbeck,male,27.2.1902,North America,USA,20.12.1968
1962,Physics,"for his pioneering theories for condensed matter, especially liquid helium",Lev Landau,male,22.1.1908,Asia,Azerbaijan,1.4.1968
1962,Peace,for his fight against the nuclear arms race between East and West,Linus Pauling,male,28.2.1901,North America,USA,19.8.1994
1962,Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,Maurice Wilkins,male,15.12.1916,Oceania,New Zealand,5.10.2004
1962,Chemistry,for their studies of the structures of globular proteins,Max F. Perutz,male,19.5.1914,Europe,Austria,6.2.2002
1963,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,Alan Hodgkin,male,5.2.1914,Europe,United Kingdom,20.12.1998
1963,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,Andrew Huxley,male,22.11.1917,Europe,United Kingdom,30.5.2012
1963,Physics,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",Eugene Wigner,male,17.11.1902,Europe,Hungary,1.1.1995
1963,Literature,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",Giorgos Seferis,male,13.3.1900,Asia,Turkey,20.9.1971
1963,Chemistry,for their discoveries in the field of the chemistry and technology of high polymers,Giulio Natta,male,26.2.1903,Europe,Italy,2.5.1979
1963,Physics,for their discoveries concerning nuclear shell structure,J. Hans D. Jensen,male,25.6.1907,Europe,Germany,11.2.1973
1963,Chemistry,for their discoveries in the field of the chemistry and technology of high polymers,Karl Ziegler,male,26.11.1898,Europe,Germany,12.8.1973
1963,Peace,for promoting the principles of the Geneva Convention and cooperation with the UN,League of Red Cross Societies,,,,,
1963,Physics,for their discoveries concerning nuclear shell structure,Maria Goeppert Mayer,female,28.6.1906,Europe,Poland,20.2.1972
1963,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,Sir John Eccles,male,27.1.1903,Oceania,Australia,2.5.1997
1963,Peace,for promoting the principles of the Geneva Convention and cooperation with the UN,International Committee of the Red Cross,,,,,
1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",Aleksandr M. Prokhorov,male,11.7.1916,Oceania,Australia,8.1.2002
1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",Charles H. Townes,male,28.7.1915,North America,USA,27.1.2015
1964,Chemistry,for her determinations by X-ray techniques of the structures of important biochemical substances,Dorothy Crowfoot Hodgkin,female,12.5.1910,Africa,Egypt,29.7.1994
1964,Physiology or Medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,Feodor Lynen,male,6.4.1911,Europe,Germany,6.8.1979
1964,Literature,"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age",Jean-Paul Sartre,male,21.6.1905,Europe,France,15.4.1980
1964,Physiology or Medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,Konrad Bloch,male,21.1.1912,Europe,Poland,15.10.2000
1964,Peace,for his non-violent struggle for civil rights for the Afro-American population,Martin Luther King Jr.,male,15.1.1929,North America,USA,4.4.1968
1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",Nicolay G. Basov,male,14.12.1922,Europe,Russia,1.7.2001
1965,Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,André Lwoff,male,8.5.1902,Europe,France,30.9.1994
1965,Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,François Jacob,male,17.6.1920,Europe,France,19.4.2013
1965,Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,Jacques Monod,male,9.2.1910,Europe,France,31.5.1976
1965,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",Julian Schwinger,male,12.2.1918,North America,USA,16.7.1994
1965,Literature,"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people",Mikhail Sholokhov,male,24.5.1905,Europe,Russia,21.2.1984
1965,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",Richard P. Feynman,male,11.5.1918,North America,USA,15.2.1988
1965,Chemistry,for his outstanding achievements in the art of organic synthesis,Robert B. Woodward,male,10.4.1917,North America,USA,8.7.1979
1965,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",Sin-Itiro Tomonaga,male,31.3.1906,Asia,Japan,8.7.1979
1965,Peace,for its effort to enhance solidarity between nations and reduce the difference between rich and poor states,United Nations Children's Fund,,,,,
1966,Physics,for the discovery and development of optical methods for studying Hertzian resonances in atoms,Alfred Kastler,male,3.5.1902,Europe,France,7.1.1984
1966,Physiology or Medicine,for his discoveries concerning hormonal treatment of prostatic cancer,Charles B. Huggins,male,22.9.1901,North America,Canada,12.1.1997
1966,Literature,"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength",Nelly Sachs,female,10.12.1891,Europe,Germany,12.5.1970
1966,Physiology or Medicine,for his discovery of tumour-inducing viruses,Peyton Rous,male,5.10.1879,North America,USA,16.2.1970
1966,Chemistry,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method,Robert S. Mulliken,male,7.6.1896,North America,USA,31.10.1986
1966,Literature,for his profoundly characteristic narrative art with motifs from the life of the Jewish people,Shmuel Agnon,male,17.7.1888,Europe,Ukraine,17.2.1970
1967,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",George Porter,male,6.12.1920,Europe,United Kingdom,31.8.2002
1967,Physiology or Medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye,George Wald,male,18.11.1906,North America,USA,12.4.1997
1967,Physics,"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",Hans Bethe,male,2.7.1906,Europe,France,6.3.2005
1967,Physiology or Medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye,Keffer Hartline,male,22.12.1903,North America,USA,17.3.1983
1967,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",Manfred Eigen,male,9.5.1927,Europe,Germany,6.2.2019
